dialogue,summary,lora_pred,faithfulness,relevance,completeness,fluency,overall,comment
"#Person1#: Hi, Tim. I was wondering if you'd like to drive me to the station tomorrow morning?
#Person2#: I would be happy to drive you there. When do you need to go?
#Person1#: I should get to the station an hour in advance. So I need to leave my house at 7:30.
#Person2#: Do you have a lot of luggage?
#Person1#: No, only one large bag and two small bags.
#Person2#: I see, I'll take my smaller car then. Where will you leave for? Beijing, Tianjin or Guangzhou?
#Person1#: I am going to Beijing first. Three days later I will fly to Shenzhen.
#Person2#: Will I be able to enter the waiting room with you?
#Person1#: I'm afraid not. You should probably just see me off at the entrance.
#Person2#: I see. Oh, by the way, would you mind giving me a call tomorrow morning in case I forget?
#Person1#: No problem. I will call you at 7:00 o'clock.
#Person2#: When will you come back from Shenzhen?
#Person1#: I will come back next Tuesday. Exactly a week later.
#Person2#: In that case, I think I can pick you up when you come back.
#Person1#: OK. Thank you very much.
#Person2#: You are welcome.","#Person1# asks Tim whether Tim could drive #Person1# to the station tomorrow morning. Tim agrees and takes his smaller car. Also, he will pick #Person1# up when #Person1# comes back.",Tim invites #Person1# to drive him to the station tomorrow morning. They decide to take a smaller car and they will meet at the entrance tomorrow morning.,2,4,3,5,3,"The model summary contains hallucinations, such as Tim inviting Person1 to drive, which is the opposite of the original dialogue. However, it captures some important information and is grammatically clear."
"#Person1#: Hello, E-shop. What can I do for you?
#Person2#: I've just received your catalog and I'd like to inquire about something in it.
#Person1#: Yes, ma'am. What's the product number?
#Person2#: SP 506.
#Person1#: Let me see. Here we are. It's our latest model of electronic dictionary.
#Person2#: How many dictionaries does it contain?
#Person1#: It contains a total of 6 dictionaries with different functions and an encyclopedia. You can also download updated materials from our website.
#Person2#: Good. I want one of those. And the prices is?
#Person1#: It's 500 UN, and you will also receive a memory stick for free.
#Person2#: That sounds great. When can I get it?
#Person1#: Within 2 days on November fifteenth.
#Person2#: Can I pay by credit card?
#Person1#: Of course. I have to mention that we charge 20 UN for the delivery.
#Person2#: Alright.",#Person2# inquiries about an electronic dictionary containing 6 dictionaries and an encyclopedia from E-shop and #Person1# is assisting #Person2# in ordering it.,E-shop asks #Person2# to check out the latest model of electronic dictionary. #Person2# wants one of them and pays by credit card within two days.,2,4,3,4,3,"The model summary contains some inaccuracies, such as E-shop asking Person2 to check out the dictionary, when in fact Person2 inquired about it, and it misses some details like the price and the free memory stick."
"#Person1#: Hello, this is the International Youth Hotel. How can I help you?
#Person2#: oh, yes. I want to check whether you still have any vacancies. I need three single rooms for next Monday.
#Person1#: ok. There're vacancies. Since the peak season is coming, it's advisable to book soon. Would you like to make a reservation now?
#Person2#: yes, please. Do you take credit cards?
#Person1#: yes, we accept all major credit cards.
#Person2#: and how about Internet access?
#Person1#: there's free Internet access in the lobby.
#Person2#: is it available in the rooms?
#Person1#: Unfortunately not.
#Person2#: that's OK. Is breakfast included?
#Person1#: yes, breakfast is included and parking is available.
#Person2#: fantastic. Thank you very much.
#Person1#: you're welcome. And we have 24 hour reception. Please don't hesitate to call anytime if you have any further questions.",#Person2# calls #Person1# to book three single rooms using credit cards.,#Person2# wants to book three single rooms for next Monday. #Person1# helps #Person2# book online with free internet access but doesn't include breakfast or parking.,2,4,3,5,3,"The model summary contains hallucinations, such as booking online and incorrect information about breakfast and parking, but captures the main point of the dialogue."
"#Person1#: What can I get you?
#Person2#: A cheeseburger and an order of french fries would be great.
#Person1#: Would you like anything to drink?
#Person2#: I feel like having a Coke.
#Person1#: That's a good idea. I think I'll join you.",#Person1# helps #Person2# order food.,"#Person2# orders a cheeseburger, French fries, and a Coke with #Person1#.",5,5,5,5,5,"The model summary accurately captures the main points of the dialogue, including the food and drink ordered, and is grammatically clear."
"#Person1#: Good morning, everyone. Let me introduce myself to you...
#Person2#: You don't need to introduce yourself, Yang. You're famous.
#Person1#: Well, thank you very much but I thought l'd try and chair the meeting by the rule, at least for a while.
#Person2#: OK, OK!
#Person1#: Now, I'd like to get things under way. The main topic on today's agenda is the development of a U. S. sales strategy for the new EBB. I'd like to hear all of your ideas, Mr. Wall, you seem in top form today. Could you start the ball rolling?
#Person2#: Uh, oh, sure. Well, I think we should keep in mind that the key to good sales is advertising.
#Person1#: Well, that's kind of obvious.
#Person2#: Give me a break, Mr. Yang.
#Person1#: Uh, let's keep this going, shall we?",Mr. Yang chairs the meeting by the rule. He introduces himself first and then asks people to share their ideas about the development of a U.S. sales strategy.,Yang introduces himself to #Person1# and asks #Person1# to share his ideas about the development of a U.S. sales strategy for the new EBB.,2,4,3,4,3,"The model summary contains a hallucination, incorrectly stating that Yang introduces himself to #Person1#, when in fact he introduces himself to everyone, and also incorrectly states that he asks #Person1# to share his ideas, when in fact he asks Mr. Wall to start."
"#Person1#: are you a blogger?
#Person2#: sure I am. I've been writing a blog for almost three years.
#Person1#: oh, it seems that I'm the only one who never blogs. When did you get started?
#Person2#: I began blogging when I first went to the US for my graduate strides.
#Person1#: what do you usually write about?
#Person2#: at first, I'll write about my life there. Like interesting things on the campus, travel stories, special English words that I come across. Sometimes, I'll post my pictures on my blog so my family an
#Person1#: that's interesting. How often do you write a blog?
#Person2#: it's random. If there happen to be a lot of things going on, I may add several new entries in a week, and if I've got nothing to share, I may leave my blog untouched for weeks.
#Person1#: got it. Are you still updating your blog?
#Person2#: sure, since I came back from the US, I've been keeping the habit of blogging, simply to share my personal insights on any topic I like.
#Person1#: good for you. I know many people just leave their blogs alone after the first few months.","#Person1# asks #Person2#, who has been writing a blog for almost three years, about blogging. #Person2# has begun blogging about interesting graduate school life in the U.S. randomly since #Person2# came back from the U.S.",#Person2# is a blogger and #Person2# tells #Person1# #Person2#'s blog has been updated by #Person2#.,2,2,2,3,2,summary lacks detail and does not capture the full context of the dialogue
"#Person1#: Wow! Your fruit looks really fresh! How much are these apples?
#Person2#: The apples are 30NT each. How many would you like?
#Person1#: Let's see, 30NT is about... almost a dollar US. What?! How about these pineapples?
#Person2#: They're 250NT each, but they're not edible. They're only used for worship.
#Person1#: Hmm, 250NT is... 8 dollars?! ! And you can't even eat them? You're crazy!
#Person2#: Wait! Don't go just yet. These bananas are pretty cheap--only 35NT for this bunch.
#Person1#: Now that's more like it! Bananas have lots of potassium, too!
#Person2#: They're also good for your digestion! Would you like some kiwis, too?
#Person1#: Are they from Taiwan?
#Person2#: They're imported from New Zealand. Four for 50NT. Nine for a hundred.
#Person1#: OK. I'll take four kiwis.",#Person1# will take some bananas and four imported kiwis while #Person1# thinks apples and pineapples are too expensive.,#Person1# and #Person2# are buying fruits. #Person1# buys 4 kiwis from Taiwan at 9 NT per kilo.,2,4,3,4,3,"The model summary contains hallucinations, such as the origin of the kiwis and the price per kilo, but captures some important information about the purchase."
"#Person1#: Good afternoon!
#Person2#: Good afternoon! Sit down, please. How are you?
#Person1#: I'm very well, thank you. How are you?
#Person2#: Very well too, thank you very much. Isn ' t it a lovely day?
#Person1#: Yes, it's beautiful, but it's also very hot.
#Person2#: Yes.
#Person1#: What's the weather like in your country?
#Person2#: Mm... It's quite warm now.
#Person1#: Where do you live?
#Person2#: In London. Where do you live?
#Person1#: Here. Near this school.",#Person1# meets #Person2# on a lovely day. It's quite warm now in London where #Person2# lives.,#Person1# and #Person2# talk about their weather and where they live.,4,4,3,5,4,"The model summary is mostly faithful and relevant, but lacks specific details about the location and the weather, and is very brief."
"#Person1#: Good afternoon, ABC Incorporated. How many I direct your call?
#Person2#: I would like to speak to Mr. Miles.
#Person1#: I am sorry, sir. He isn't in right now. Would you like to leave a message?
#Person2#: Yes. Can you tell him Bob White called?
#Person1#: And your company name, please.
#Person2#: He knows who I am.
#Person1#: Is there a telephone number where you can be reached?
#Person2#: I can be reached at 544-879-9087 until 5 p. m. today.
#Person1#: Thank you, sir. I'll tell him you called.
#Person2#: Thank you.",Bob White asks #Person1# to tell Mr. Miles to call him back before 5 p. m. today.,Mr. Miles calls #Person1# and tells #Person1# he's not in right now. #Person1# will tell him Mr. White called.,1,2,2,4,2,"The model summary contains hallucinations and does not accurately capture the dialogue, but is grammatically clear."
"#Person1#: Hello, I am Mr. Johnson at room 309. I would like to have a safe box. Do I need to pay for a safe box?
#Person2#: No, you don't. Just fill out this card and sign your name and room number on it.
#Person1#: Here you are. Can I have a larger envelope to put my valuable things in it?
#Person2#: Yes, will this do?
#Person1#: Yes, it's perfect.
#Person2#: Wait a minute. This is your safe box key, don't lose it. You'll have to pay two thousand yuan if you lose the key.
#Person1#: OK, I won't.",#Person2# gives Mr. Johnson a safe box and a larger envelope. He will be fined if losing the safe box key.,Mr. Johnson wants to buy a safe box with #Person2#'s assistance.,2,2,2,4,2,"The model summary contains inaccuracies, such as stating Mr. Johnson wants to buy a safe box, when in fact it is provided for free."
